Species and subspecies,Wild ancestor,Date,Location of origin,Purpose,Image,Degree and type of domestication,Extent in wild vs captivity,Taxon group,Domestic
Chinese hamster (Cricetulus griseus),Chinese hamster (Cricetulus griseus),1920s,China,"research, biotechnology, pets",,Held/tame in captivity,,1d Rodentia,Partial
"Rosy-faced (Agapornis roseicollis), Yellow-collared (A. personatus), Fischer's (A. fischeri), Lilian's (A. lilianae), Black-cheeked (A. nigrigenis), Black-winged (A. taranta), Red-headed (A. pullarius) and Grey-headed lovebird (A. canus)","Rosy-faced (Agapornis roseicollis), yellow-collared (A. personatus), Fischer's (A. fischeri), Lilian's (A. lilianae), Black-cheeked (A. nigrigenis), Black-winged (A. taranta), Red-headed (A. pullarius) and Grey-headed lovebird (A. canus)","1920s (uncertain for A. roseicollis, A. lilianae, A. nigrigenis, A. taranta, A. pullarius and A. canus)","Africa, Madagascar",pets,,Held/tame in captivity,,2e Psittaciformes,Partial
Rainbowfish (Melanotaeniidae),Various rainbowfish spp. (Melanotaeniidae spp.),1920s,"northern and eastern Australia, New Guinea, islands in Cenderawasih Bay, and the Raja Ampat Islands in Indonesia","pets, pest control",,Held/tame in captivity,,5b Other fish,Partial
Golden hamster (Mesocricetus auratus),Golden hamster (Mesocricetus auratus),1930s,"Syria, Turkey","pets, research",,Domesticated,,1d Rodentia,Partial
Turkish hamster (Mesocricetus brandti),Turkish hamster (Mesocricetus brandti),20th century,"Armenia, Azerbaijan, Georgia, Iran, Russia, Turkey","pets, research",,Domesticated,,1d Rodentia,Partial
Long-tailed chinchilla (Chinchilla lanigera),Long-tailed chinchilla (Chinchilla lanigera),1930s,Andes,"pets, fur, research",,Held/tame in captivity,,1d Rodentia,Partial
Short-tailed chinchilla (Chinchilla chinchilla),Short-tailed chinchilla (Chinchilla chinchilla),1930s,Andes,fur,,Raised in captivity,Critically endangered in the wild,1d Rodentia,Partial
Water flea (Daphnia magna),Water flea (Daphnia magna),1930s,"North America, Eurasia, Africa","research, animal feed",,Held/tame in captivity,,6c Other arthropods,Partial
African clawed frog (Xenopus laevis) and Western clawed frog (X. tropicalis),African clawed frog (Xenopus laevis) and Western clawed frog (X. tropicalis),1950s (uncertain for X. tropicalis),"South Africa, West Africa","pets, research",,Captive bred,,4a Anura,Partial
Sea-monkey (Artemia nyos),"Brine shrimp (Artemia spp., esp. A. salina)",1950s,United States,"pets, research",,Captive bred,,6c Other arthropods,Partial
"Ball (Python regius), Indian (P. molurus), Angolan (P. anchietae), Borneo (P. breitensteini), Sumatran short tailed (P. curtus) and Brongersma's short-tailed python (P. brongersmai)","Ball (Python regius), Indian (P. molurus), Angolan (P. anchietae), Borneo (P. breitensteini), Sumatran short tailed (P. curtus) and Brongersma's short-tailed python (P. brongersmai)","1960s (uncertain for P. molurus, P. anchietae, P. breitensteini, P. curtus and P. brongersmai)","Africa, India, Sumatra, Borneo, Malaysia",pets,,Captive bred,,3a Serpentes,Partial
African rock python (Python sebae) including subspecies Natal rock python (P. s. natalensis),African rock python (Python sebae) including subspecies Natal rock python (P. s. natalensis),Date uncertain,Africa,pets,,Captive bred,,3a Serpentes,Partial
Burmese python (Python bivittatus) including subspecies Dwarf Burmese python (P. b. progschai),Burmese python (Python bivittatus) including subspecies Dwarf Burmese python (P. b. progschai)[73][74],Date uncertain,"Myanmar, Thailand, Bali, Java, Sulawesi","pets, meat, skins, medicine",,Captive bred,,3a Serpentes,Partial
"Campbell's dwarf (Phodopus campbelli), Djungarian (P. sungorus) and Roborovski dwarf hamster (P. roborovskii)","Campbell's dwarf (Phodopus campbelli), Djungarian (P. sungorus) and Roborovski dwarf hamster (P. roborovskii)",1960s,"Mongolia, Russia, China","pets, research",,Held/tame in captivity,,1d Rodentia,Partial
Zebra finch (Taeniopygia guttata) and Double-barred finch (T. bichenovii),Zebra finch (Taeniopygia guttata) and Double-barred finch (T. bichenovii),20th century (uncertain for T. bichenovii),Australia,"pets, show",,"Plumage changes, some breeds are physically larger",,2d Passeriformes,Partial
"Axolotl (Ambystoma mexicanum); Tiger salamander (A. tigrinum), Barred tiger salamander (A. mavortium), Anderson's salamander (A. andersoni), Long-toed salamander (A. macrodactylum), Spotted salamander (A. maculatum), Marbled salamander (A. opacum) and Mole salamander (A. talpoideum)","Axolotl (Ambystoma mexicanum); Tiger salamander (A. tigrinum), Barred tiger salamander (A. mavortium), Anderson's salamander (A. andersoni), Long-toed salamander (A. macrodactylum), Spotted salamander (A. maculatum), Marbled salamander (A. opacum) and Mole salamander (A. talpoideum)","20th century (uncertain for A. tigrinum, A. mavortium, A. andersoni, A. macrodactylum, A. maculatum, A. opacum and A. talpoideum)","Mexico, United States","research, pets",,Slight physical changes,Critically endangered in the wild,4b Other amphibians,Partial
Palm cockatoo (Probosciger aterrimus),Palm cockatoo (Probosciger aterrimus),Date uncertain,Australia,pets,,Held/tame in captivity,,2e Psittaciformes,Partial
Leopard gecko (Eublepharis macularius) including subspecies Afghan leopard gecko (E. m. afghanicus),Leopard gecko (Eublepharis macularius) including subspecies Afghan leopard gecko (E. m. afghanicus),20th century (uncertain for E. m. afghanicus),"Pakistan, Afghanistan",pets,,Slight physical modification,Somewhat common in captivity,3b Lacertilia,Partial
"Iranian fat-tailed (Eublepharis angramainyu), West Indian (E. fuscus), East Indian (E. hardwickii), Satpura (E. satpuraensis) and Turkmenistan eyelid gecko (E. turcmenicus)","Iranian fat-tailed (Eublepharis angramainyu), West Indian (E. fuscus), East Indian (E. hardwickii), Satpura (E. satpuraensis) and Turkmenistan eyelid gecko (E. turcmenicus)",Date uncertain,"Iran, Iraq, India, Turkmenistan",pets,,Captive bred,,3b Lacertilia,Partial
American bison (Bison bison),American bison (Bison bison),20th century,North America,"meat, leather, hides, horns, guarding, fibre, pets",,Semidomesticated,,1b Bovidae,Partial
Companion parrot (Order Psittaciformes),Many species (Order Psittaciformes)[75][76],1980s and 1990s,"Australia, Africa, Asia, North America, Central America, South America, New Zealand, Papua New Guinea, New Caledonia, Fiji","pets, talking bird, ornamental, guarding, show, education, therapy",,Held/tame in captivity,,2e Psittaciformes,Partial
"Turquoise parrot (Neophema pulchella), Blue-winged parrot (N. chrysostoma), Elegant parrot (N. elegans) and Scarlet-chested parrot (N. splendida)","Turquoise parrot (Neophema pulchella), Blue-winged parrot (N. chrysostoma), Elegant parrot (N. elegans) and Scarlet-chested parrot (N. splendida)","20th century (uncertain for N. chrysostoma, N. elegans and N. splendida)",Australia,"pets, show",,Held/tame in captivity,,2e Psittaciformes,Partial
"Dyeing (Dendrobates tinctorius), Green and black (D. auratus), Yellow-banded (D. leucomelas) and Yellow-striped poison frog (D. truncatus)","Dyeing (Dendrobates tinctorius), Green and black (D. auratus), Yellow-banded (D. leucomelas) and Yellow-striped poison frog (D. truncatus)",Mid-to-late 20th century,"Guyana, Suriname, Brazil, French Guiana, Nicaragua, Costa Rica, Panama, Colombia, Venezuela",pets,,Slight physical changes; loss of toxicity,,4a Anura,Partial
Diamond dove (Geopelia cuneata) and Zebra dove (G. striata),Diamond dove (Geopelia cuneata) and Zebra dove (G. striata),Date uncertain,"Australia, Southeast Asia",pets,,Held/tame in captivity,,2c Columbiformes,Partial
"Eastern kingsnake (Lampropeltis getula) including subspecies California kingsnake (L. g. californiae), Florida kingsnake (L. g. floridana), Mexican black kingsnake (L. g. nigrita) and Apalachicola Kingsnake (L. g. meansi)",Eastern kingsnake (Lampropeltis getula) and appropriate subspecies,Date uncertain,"Arizona, Florida, Mexico, California",pets,,Held/tame in captivity,,3a Serpentes,Partial
"Grey-banded (Lampropeltis alterna), Scarlet (L. elapsoides), Speckled (L. holbrooki), Mandrean mountain (L. knoblochi), Variable (L. leonis), Arizona mountain (L. pyromelana), Ruthven's (L. ruthveni), Desert (L. splendida) and California mountain (L. zonata) and Black kingsnake (L. nigra); Guatemalan (L. abnorma) and Mexican milk snake (L. annulata)","Grey-banded (Lampropeltis alterna), Scarlet (L. elapsoides), Speckled (L. holbrooki), Mandrean mountain (L. knoblochi), Variable (L. leonis), Arizona mountain (L. pyromelana), Ruthven's (L. ruthveni), Desert (L. splendida) and California mountain (L. zonata) and Black kingsnake (L. nigra); Guatemalan (L. abnorma) and Mexican milk snake (L. annulata)",Date uncertain,"Mexico, Guatemala, Florida, Iowa, Alabama, Arizona, Texas, California","pets, pest control",,Held/tame in captivity,,3a Serpentes,Partial
Mexican kingsnake (Lampropeltis mexicana) including subspecies Thayer's kingsnake (L. m. thayeri),Mexican kingsnake (Lampropeltis mexicana) and appropriate subspecies,Date uncertain,Mexico,pets,,Captive bred,,3a Serpentes,Partial
Prairie kingsnake (Lampropeltis calligaster) including subspecies Mole kingsnake (L. c. rhombomaculata),Prairie kingsnake (Lampropeltis calligaster) and appropriate subspecies,Date uncertain,"Southeastern United States, Texas",pets,,Captive bred,,3a Serpentes,Partial
"Andean (Lampropeltis triangulum andesiana), Pueblan (L. t. campbelli), Black (L. t. gaigeae), Honduran (L. t. hondurensis), Nelson's (L. t. nelsoni), Sinaloan (L. t. sinaloae), red (L. t. syspila) and Eastern milk snake (L. t. triangulum)","Andean (Lampropeltis triangulum andesiana), Pueblan (L. t. campbelli), Black (L. t. gaigeae), Honduran (L. t. hondurensis), Nelson's (L. t. nelsoni), Sinaloan (L. t. sinaloae), Red (L. t. syspila) and Eastern milk snake (L. t. triangulum)",Date uncertain,"Mexico, Honduras, Colombia, Puebla, panama, Sonora, Indiana, Tennessee",pets,,Captive bred,,3a Serpentes,Partial
"Corn snake (Pantherophis gutttatus), Eastern rat snake (P. alleghaniensis), Baird's rat snake (P. bairdi), Great Plains rat snake (P. emoryi), Eastern fox snake (P. gloydi), Western rat snake (P. obsoletus), Slowinski's corn snake (P. slowinskii), Gray ratsnake (P. spiloides) and Fox snake (P. vulpinus)","Corn snake (Pantherophis guttatus), Eastern rat snake (P. alleghaniensis), Baird's rat snake (P. bairdi), Great Plains rat snake (P. emoryi), Eastern fox snake (P. gloydi), Western rat snake (P. obsoletus), Slowinski's corn snake (P. slowinskii), Gray ratsnake (P. spiloides) and Fox snake (P. vulpinus)","1960s (uncertain for P. alleghaniensis, P. bairdi, P. emoryi, P. gloydi, P. obsoletus,P. slowinskii, P. spiloides and P. vulpinus)",United States,pets,,Slight physical changes,"Somewhat common in captivity, common in the wild",3a Serpentes,Partial
Muskox (Ovibos moschatus),Muskox (Ovibos moschatus)[77],1960s,United States,"wool, meat, milk, horns",,Held/tame in captivity,,1b Bovidae,Partial
Siberian chipmunk (Eutamias sibiricus),Siberian chipmunk (Eutamias sibiricus)[78],1960s,Russia,"pest control, pets",,Held/tame in captivity,,1d Rodentia,Partial
Madagascar hissing cockroach (Gromphadorhina portentosa) and Wide-horned hisser (G. oblongonota),Madagascar hissing cockroach (Gromphadorhina portentosa) and Wide-horned hisser (G. oblongonota),1960s (uncertain for G. oblongonota),Madagascar,pets,,Captive bred,,6b Other insects,Partial
Eastern bearded dragon (Pogona barbata) and Western bearded dragon (P. minor),Eastern bearded dragon (Pogona barbata) and Western bearded dragon (P. minor),Date uncertain,Australia,pets,,Slight physical changes,,3b Lacertilia,Partial
Central bearded dragon (Pogona vitticeps),Central bearded dragon (Pogona vitticeps),1970s,Australia,pets,,Slight physical changes,,3b Lacertilia,Partial
Silver carp (Hypophthalmichthys molitrix),Silver carp (Hypophthalmichthys molitrix)[79],1970s,China,"meat, algae control",,Held/tame in captivity,,5a Cyprinidae,Partial
Eclectus parrot (Eclectus roratus),Eclectus parrot (Eclectus roratus),1980s,"Australia, Indonesia, New Guinea, Solomon Islands",pets,,Held/tame in captivity,,2e Psittaciformes,Partial
"Salmon-crested (Cacatua moluccensis), Blue-eyed (C. ophthalmica), Red-vented (C. haematuropygia) and Solomons cockatoo (C. ducorpsii); Long-billed (C. tenuirostris), Western (C. pastinator), Little (C. sanguinea) and Tanimbar corella (C. goffiniana)","Salmon-crested (Cacatua moluccensis), Blue-eyed (C. ophthalmica) Red-vented (C. haematuropygia) and Solomons cockatoo (C. ducorpsii); Long-billed (C. tenuirostris), Western (C. pastinator), Little (C. sanguinea) and Tanimbar corella (C. goffiniana)","1980s (uncertain for C. ophthalmica, C. haematuropygia, C. durcopsii, C. tenuirostris, C. pastinator, C. sanguinea and C. goffiniana)","Maluku Islands, Papua New Guinea, Australia, Tanimbar Islands, Philippines, Solomon Islands","pets, show, talking bird",,Held/tame in captivity,,2e Psittaciformes,Partial
Yellow-bellied glider (Petaurus australis),Yellow-bellied glider (Petaurus australis),Date uncertain,Australia,pets,,Held/tame in captivity,,1e Other mammals,Partial
Sugar glider (Petaurus breviceps),Sugar glider (Petaurus breviceps)[80],1980s,Australia,"pets, pest control",,Held/tame in captivity,,1e Other mammals,Partial
Rankin's dragon (Pogona henrylawsoni),Rankin's dragon (Pogona henrylawsoni),1980s,Australia,pets,,Held/tame in captivity,,3b Lacertilia,Partial
Buff-tailed bumblebee (Bombus terrestris) and Common eastern bumblebee (B. impatiens),Buff-tailed bumblebee (Bombus terrestris) and Common eastern bumblebee (B. impatiens),1980s (uncertain for B. impatiens),"Europe, North America","wax, pollination",,Held/tame in captivity,,6a Hymenoptera,Partial
Greater rhea (Rhea americana) and Darwin's rhea (R. pennata),Greater rhea (Rhea americana) and Darwin's rhea (R. pennata)[81],1990s (uncertain for R. pennata),South America,"meat, eggs, feathers, leather, oil, pets",,Semidomesticated,,2f Other birds,Partial
Emu (Dromaius novaehollandiae),Emu (Dromaius novaehollandiae),1990s,Australia,"meat, eggs, feathers, leather, oil, guarding, pets",,Semidomesticated,,2f Other birds,Partial
Giant eland (Taurotragus derbianus),Giant eland (Taurotragus derbianus),Date uncertain,West Africa,"meat, leather, hides, horns, milk",,Held/tame in captivity,,1b Bovidae,Partial
Fringe-eared oryx (Oryx beisa callotis) and Common beisa oryx (O. b. beisa),Fringe-eared oryx (Oryx beisa callotis)[82] and Common beisa oryx (O. b. beisa),Date uncertain,Kenya,"meat, leather, hides, horns",,Held/tame in captivity,,1b Bovidae,Partial
Degu (Octodon degus),Degu (Octodon degus),1990s,Chilean Andes,"pets, research",,Held/tame in captivity,,1d Rodentia,Partial
"Mongolian gerbil (Meriones unguiculatus), Persian jird (M. persicus), Libyan jird (M. libycus), Shaw's jird (M. shawi), Tristram's jird (M. tristrami) and Sundevall's jird (M. crassus)","Mongolian gerbil (Meriones unguiculatus), Persian jird (M. persicus), Libyan jird (M. libycus), Shaw's jird (M. shawi), Tristram's jird (M. tristrami) and Sundervall's jird (M. crassus)","1990s (uncertain for M. persicus, M. libycus, M. shawi, M. tristrami and M. crassus)","Mongolia, Algeria, Iran, Libya, Turkey, Egypt","pets, research",,Held/tame in captivity,,1d Rodentia,Partial
Green iguana (Iguana iguana) and Lesser Antillean iguana (I. delicatissima),Green iguana (Iguana iguana) and Lesser Antillean iguana (I. delicatissima),1990s (uncertain for I. delicatissima),"South America, Lesser Antilles","pets, meat, leather",,Captive bred,,3b Lacertilia,Partial
"Coastal carpet python (Morelia spilota mcdowelli), Southwest carpet python (M. s. imbricata) Inland carpet python (M. s. metcalfei), Diamond python (M. s. spilota), Darwin carpet python (M. s. variegata) and Jungle carpet python (M. s. cheynei)","Coastal carpet python (Morelia spilota mcdowelli), Southwest carpet python (M. s. imbricata) Inland carpet python (M. s. metcalfei), Diamond python (M. s. spilota), Darwin carpet python (M. s. variegata) and Jungle carpet python (M. s. cheynei)",Date uncertain,"New Guinea, Indonesia, Australia",pets,,Captive bred,,3a Serpentes,Partial
"Green tree python (Morelia viridis), Rough-scaled python (M. carinata) and Bredl's python (M. bredli)","Green tree python (Morelia viridis), Rough-scaled python (M. carinata) and Bredl's python (M. bredli)",mid-1990s (uncertain for M. carinata and M. bredli),"New Guinea, Indonesia, Australia",pets,,Captive bred,,3a Serpentes,Partial
"Red-tailed black cockatoo (Calyptorhynchus banksii), Yellow-tailed black cockatoo (C. funereus) and Glossy black cockatoo (C. lathami)","Red-tailed black cockatoo (Calyptorhynchus banksii), Yellow-tailed black cockatoo (C. funereus) and Glossy black cockatoo (C. lathami)",late 1990s (uncertain for C. funereus and C. lathami),Australia,"pets, education",,Held/tame in captivity,,2e Psittaciformes,Partial
"Pin-tailed (Erythrura prasina), Tricolored (E. tricolor), Tawny-breasted (E. hyperythra), Blue-faced (E. trichroa), Red-eared (E. coloria), Red-throated (E. psittacea) and Fiji parrotfinch (E. pealii)","Pin-tailed (Erythrura prasina), Tricolored (E. tricolor), Tawny-breasted (E. hyperythra), Blue-faced (E. trichroa), Red-eared (E. coloria), Red-throated (E. psittacea) and Fiji parrotfinch (E. pealii)",Date uncertain,"Malaysia, Brunei, Cambodia, Indonesia, Laos, Burma, Timor, Australia, Philippines, New Caledonia, Fiji and Thailand",pets,,Held/tame in captivity,,2d Passeriformes,Partial
Gouldian finch (Erythrura gouldiae),Gouldian finch (Erythrura gouldiae),late 1990s,Australia,"pets, show",,Held/tame in captivity,,2d Passeriformes,Partial
"Australian green tree (Ranoidea caerulea), Orange-eyed tree (R. chloris), Leaf green tree (R. phyllochroa), Mountain stream tree (R. barringtonensis), Magnificent tree (R. splendida), Growling grass (R. raniformis), Blue Mountains tree (R. citropa) and Dainty green tree frog (R. gracilenta)","Australian green tree (Ranoidea caerulea), Orange-eyed tree (R. chloris), Leaf green tree (R. phyllochroa), Mountain stream tree (R. barringtonensis), Magnificent tree (R. splendida), Growling grass (R. raniformis), Blue Mountains tree (R. citropa) and Dainty green tree frog (R. gracilenta)","late 20th century (uncertain for R. chloris, R. phyllochroa, R. barringtonensis, R. splendida, R. raniformis, R. citropa, R. gracilenta)",Australia,"pets, research",,Captive bred,,4a Anura,Partial
"Argentine (Ceratophrys ornata), Brazilian (C. aurita), Venezuelan (C. calcarata), Surinam (C. cornuta), Caatinga (C. joazeirensis), Pacific (C. stolzmanni) and Cranwell's horned frog (C. cranwelli)","Argentine (Ceratophrys ornata), Brazilian (C. aurita), Venezuelan (C. calcarata), Surinam (C. cornuta), Caatinga (C. joazeirensis), Pacific (C. stolzmanni) and Cranwell's horned frog (C. cranwelli)","late 20th century (uncertain for C. aurita, C. calcarata, C. cornuta, C. joazeirensis, C. stolzmanni)","Argentina, Brazil, Venezuela, Suriname, Ecuador",pets,,Captive bred,,4a Anura,Partial
"Crucian carp (Carassius carassius), Prussian carp (C. gibelio), Ginbuna (C. langsdorfii) and Japanese white crucian carp (C. cuvieri)","Crucian carp (Carassius carassius), Prussian carp (C. gibelio), Ginbuna (C. langsdorfii) and Japanese white crucian carp (C. cuvieri)[83]","2000s (uncertain for C. gibelio, C. langsdorfii and C. cuvieri)","England, Russia, Japan","meat, pets, research",,Domesticated,,5a Cyprinidae,Partial
King quail (Excalfactoria chinensis),King quail (Excalfactoria chinensis),Date uncertain,"Asia, Australia",pets,,Held/tame in captivity,,2b Galliformes,Partial
Small-billed tinamou (Crypturellus parvirostris),Small-billed tinamou (Crypturellus parvirostris),Date uncertain,South America,"meat, eggs",,Held/tame in captivity,,2f Other birds,Partial
Red-winged tinamou (Rhynchotus rufescens),Red-winged tinamou (Rhynchotus rufescens)[84],Date uncertain,South America,"meat, eggs",,Held/tame in captivity,,2f Other birds,Partial
"White-necked (Corvus albicollis), Common (C. corax) and Australian raven (C. coronoides); Pied (C. albus), Carrion (C. corone), American (C. brachyrhynchos), Hooded (C. cornix) and House crow (C. splendens); Rook (C. frugilegus)","White-necked (Corvus albicollis), Common (C. corax) and Australian raven (C. coronoides); Pied (C. albus), Carrion (C. corone), American (C. brachyrhynchos), Hooded (C. cornix) and House crow (C. splendens); Rook (C. frugilegus)[85][86][87][88][89][90][91]",Date uncertain,"Europe, Africa, Australia, North America, India","pest control, pets, research, show",,Held/tame in captivity,,2d Passeriformes,Partial
Southern (Bucorvus leadbeateri) and Abyssinian ground hornbill (B. abyssinicus),Southern (Bucorvus leadbeateri) and Abyssinian ground hornbill (B. abyssinicus),Date uncertain,"South Africa, Ethiopia","show, pest control, pets",,Held/tame in captivity,,2f Other birds,Partial
Oriental darter (Anhinga melanogaster),Oriental darter (Anhinga melanogaster)[92],Date uncertain,India,fishing,,Held/tame in captivity,,2f Other birds,Partial
Southern (Chauna torquata) and Northern screamer (C. chavaria),Southern (Chauna torquata) and Northern screamer (C. chavaria),Date uncertain,South America,guarding,,Held/tame in captivity,,2a Anseriformes,Partial
Horned screamer (Anhima cornuta),Horned screamer (Anhima cornuta)[93],Date uncertain,South America,guarding,,Held/tame in captivity,,2a Anseriformes,Partial
Red-legged seriema (Cariama cristata),Red-legged seriema (Cariama cristata),Date uncertain,South America,guarding,,Held/tame in captivity,,2f Other birds,Partial
Black-legged seriema (Chunga burmeisteri),Black-legged seriema (Chunga burmeisteri),Date uncertain,South America,guarding,,Held/tame in captivity,,2f Other birds,Partial
"Golden (Aquila chrysaetos), Eastern Imperial (A. heliaca), Spanish Imperial (A. adalberti), Wedge-tailed (A. audax), Steppe (A. nipalensis), Tawny (A. rapax), African hawk- (A. spilogaster), Bonelli's (A. fasciata), Verreaux's eagle (A. verreauxii)","Golden (Aquila chrysaetos)[94], Eastern imperial (A. heliaca), Spanish imperial (A. adalberti), Wedge-tailed (A. audax), Steppe (A. nipalensis), Tawny (A. rapax), African hawk-(A. spilogaster), Bonelli's (A. fasciata), Verreaux's eagle (A. verreauxii)",Date uncertain,"Europe, North America, Kazakhstan, Mongolia, Africa, Australia","falconry, show, intercepting, pest control, pets",,Held/tame in captivity,,2f Other birds,Partial
"Bald eagle (Haliaeetus leucocephalus), White-tailed eagle (H. albicilla), African fish eagle (H. vocifer), White-bellied sea eagle (H. leucogaster), Steller's sea eagle (H. pelagicus)","Bald eagle (Haliaeetus leucocephalus)[95][96], White-tailed eagle (H. albicilla), African fish eagle (H. vocifer), White-bellied sea eagle (H. leucogaster), Steller's sea eagle (H. pelagicus)",Date uncertain,"North America, Africa, Australia, Europe, Russia","falconry, show, intercepting, pets, pest control",,Held/tame in captivity,,2f Other birds,Partial
Harris's hawk (Parabuteo unicinctus),Harris's hawk (Parabuteo unicinctus)[97],Date uncertain,United States,"falconry, show, pest control, pets",,Held/tame in captivity,,2f Other birds,Partial
"Northern (Accipiter gentilis), Crested (A. trivirgatus), African goshawk (A. tachiro); Shikra (A. badius), Besra (A. virgatus), Sharp-shinned hawk (A. striatus), Cooper's hawk (A. cooperii); Eurasian (A. nisus), Ovambo (A. ovampensis), Collared (A. cirrocephalus), Japanese (A. gularis), Black sparrowhawk (A. melanoleucus)","Northern (Accipiter gentilis)[98], Crested (A. trivirgatus), African goshawk (A. tachiro); Shikra (A. badius), Besra (A. virgatus), Sharp-shinned hawk (A. striatus) Cooper's hawk (A. cooperii); Eurasian (A. nisus), Ovambo (A. ovampensis), Collared (A. cirrocephalus), Japanese (A. gularis), Black sparrowhawk (A. melanoleucus)",Date uncertain,"Europe, Asia, North America, Africa","falconry, show, pest control, pets",,Held/tame in captivity,,2f Other birds,Partial
"Eurasian eagle-owl (Bubo bubo) including subspecies Western Siberian eagle-owl (B. b. sibiricus), Eastern Siberian eagle-owl (B. b. yenisseensis) and Turkmenian eagle-owl (B. b. omissus)",Eurasian eagle-owl (Bubo bubo)[99] and appropriate subspecies,Date uncertain,"Europe, Russia, Turkmenistan","show, pest control, pets",,Held/tame in captivity,,2f Other birds,Partial
Great horned owl (Bubo virginianus) including subspecies Northern great horned owl (B. v. subarcticus),Great horned owl (Bubo virginianus),Date uncertain,Canada,"pest control, show, pets",,Held/tame in captivity,,2f Other birds,Partial
Tawny owl (Strix aluco),Tawny owl (Strix aluco)[100],Date uncertain,"Europe, United Kingdom","pest control, show, pets",,Held/tame in captivity,,2f Other birds,Partial
Glossy ibis (Plegadis falcinellus),Glossy ibis (Plegadis falcinellus),Date uncertain,"Europe, Asia, Africa, Australia, and the Atlantic and Caribbean regions of the Americas","meat, eggs, pest control",,Held/tame in captivity,,2f Other birds,Partial
Puna ibis (Plegadis ridgwayi),Puna ibis (Plegadis ridgwayi),Date uncertain,Peru,"meat, eggs, pest control",,Held/tame in captivity,,2f Other birds,Partial
Wild boar (Sus scrofa) and Celebes warty pig (S. celebensis),Wild boar (Sus scrofa)[101][102] and Celebes warty pig (S. celebensis),Date uncertain,"Europe, United Kingdom, Sulawesi","meat, tusks, hides, leather, pets",,Held/tame in captivity,,1a Artiodactyla except Bovidae,Partial
"Red-necked wallaby (Macropus rufogriseus), Tammar wallaby (M. eugenii) and Parma wallaby (M. parma); Red kangaroo (M. rufus)","Red-necked wallaby (Macropus rufogriseus),[103] Tammar wallaby (M. eugenii) and Parma wallaby (M. parma); Red kangaroo (M. rufus)[104]","2000s (uncertain for M. eugenii, M. parma and M. rufus)","Tasmania, South Australia, Western Australia, New South Wales","lawn mowing, pets, tourism, research, meat, leather",,Held/tame in captivity,,1e Other mammals,Partial
"Tiger quoll (Dasyurus maculatus), Eastern quoll (D. viverrinus), Western quoll (D. geoffroii) and Northern quoll (D. hallucatus)","Tiger quoll (Dasyurus maculatus), Eastern quoll (D. viverrinus), Western quoll (D. geoffroii) and Northern quoll (D. hallucatus)[105][106][107][108]",Date uncertain,Australia,"pest control, pets",,Held/tame in captivity,,1e Other mammals,Partial
Smooth-coated otter (Lutrogale perspicillata),Smooth-coated otter (Lutrogale perspicillata)[109],Date uncertain,Bangladesh,"fishing, pets",,Held/tame in captivity,,1c Carnivora,Partial
"Beech marten (Martes foina), Sable (M. zibellina) and Yellow-throated marten (M. flavigula)","Beech marten (Martes foina),[110][111] Sable (M. zibellina) and Yellow-throated marten (M. flavigula)",Date uncertain,"Europe, Russia, India","fur, pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Fisher (Pekania pennanti),Fisher (Pekania pennanti),Date uncertain,North America,"fur, research, pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
"Siberian weasel (Mustela sibirica), Least weasel (M. nivalis) and Yellow-bellied weasel (M. kathiah); European polecat (M. putorius)","Siberian weasel (Mustela sibirica),[112] Least weasel (M. nivalis) and Yellow-bellied weasel (M. kathiah); European polecat (M. putorius)[113][114]",Date uncertain,"Russia, Europe, India","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Greater (Galictis vittata) and Lesser grison (G. cuja),Greater (Galictis vittata) and Lesser grison (G. cuja),Date uncertain,South America,"pest control, hunting, pets",,Held/tame in captivity,,1c Carnivora,Partial
Patagonian weasel (Lyncodon patagonicus),Patagonian weasel (Lyncodon patagonicus),Date uncertain,"Argentina, Chile","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Raccoon (Procyon lotor),Raccoon (Procyon lotor)[115],Date uncertain,North America,"pest control, show, pets",,Held/tame in captivity,,1c Carnivora,Partial
South American (Nasua nasua) and White-nosed coati (N. narica),South American (Nasua nasua)[116] and White-nosed coati (N. narica),Date uncertain,"South America, Costa Rica","pest control, show, pets",,Held/tame in captivity,,1c Carnivora,Partial
Ring-tailed cat (Bassariscus astutus) and Cacomistle (B. sumichrasti),Ring-tailed cat (Bassariscus astutus) and Cacomistle (B. sumichrasti)[117],Date uncertain,"North America, Central America","pest control, pets",,Held/tame in captivity,,1c Carnivora,Partial
Southern (Tamandua tetradactyla) and Northern tamandua (T. mexicana),Southern (Tamandua tetradactyla) and Northern tamandua (T. mexicana)[118][119],Date uncertain,"South America, Central America","pest control, pets",,Held/tame in captivity,,1e Other mammals,Partial
Lowland (Cuniculus paca) and Mountain paca (C. taczanowskii),Lowland (Cuniculus paca) and Mountain paca (C. taczanowskii),Date uncertain,"Mexico, Argentina, Ecuador","meat, pets",,Held/tame in captivity,,1d Rodentia,Partial
